r0,r1,r2,r3,r4,r5,x,y,z,alpha,beta,gamma
5.0888875497432165e-14,-42.678401947021484,-27.239564895629883,0.0,69.91796875,0.0,0.0,0.0,0.36000001430511475,1.3416660526116062e-06,90.00000250447816,-1.7662443528162847e-06
2.289999244918517e-13,-42.678401947021484,-27.239564895629883,0.0,69.91796875,-1.4787793816140038e-06,0.0,0.0,0.36000001430511475,5.366312873654092e-06,90.00000250447816,-7.064514933170016e-06
1.959221630418173e-12,-42.67839813232422,-27.23957633972168,0.0,69.91798400878906,-3.7215129395917756e-06,0.0,0.0,0.36000001430511475,1.2073413254383456e-05,90.00000933466734,-1.589411822747401e-05
3.485888010537619e-12,-42.67839813232422,-27.23957633972168,0.0,69.91798400878906,-6.776618192816386e-06,0.0,0.0,0.36000001430511475,2.14624408002777e-05,90.00000933466734,-2.8254359907919088e-05
9.465330429170304e-12,-42.67839050292969,-27.239587783813477,0.0,69.9179916381836,-1.0560596820141654e-05,0.0,0.0,0.36000001430511475,3.3532873187924815e-05,90.0000161648565,-4.4144553585360545e-05
1.361277410238948e-11,-42.67839050292969,-27.239587783813477,0.0,69.9179916381836,-1.5248884665197693e-05,0.0,0.0,0.36000001430511475,4.828416895969583e-05,90.0000161648565,-6.356399251510373e-05
2.6360436403138898e-11,-42.67838668823242,-27.239599227905273,0.0,69.91800689697266,-2.0773210053448565e-05,0.0,0.0,0.36000001430511475,6.571581189884372e-05,90.00002299504568,-8.651198623689395e-05
4.468043296457225e-11,-42.67837905883789,-27.239608764648438,0.0,69.91801452636719,-2.7146779757458717e-05,0.0,0.0,0.36000001430511475,8.582728416017747e-05,90.00002982523485,-0.0001129878540611405
6.948876196677389e-11,-42.67837142944336,-27.239620208740234,0.0,69.91802978515625,-3.436372571741231e-05,0.0,0.0,0.36000001430511475,0.00010861804835717811,90.00003665542401,-0.00014299087947248473
1.017523079682725e-10,-42.678367614746094,-27.23963165283203,0.0,69.91804504394531,-4.2431776819285005e-05,0.0,0.0,0.36000001430511475,0.0001340875899015426,90.00004348561319,-0.00017652042412087988
1.4246340218626585e-10,-42.67835998535156,-27.239643096923828,0.0,69.91805267333984,-5.133303056936711e-05,0.0,0.0,0.36000001430511475,0.00016223533558098403,90.00005031580235,-0.00021357570635320737
2.1556527396437986e-10,-42.678348541259766,-27.23966407775879,0.0,69.91807556152344,-6.1091071984265e-05,0.0,0.0,0.36000001430511475,0.0001930608164036313,90.0000639761807,-0.0002541561008469725
2.7999058627159457e-10,-42.678340911865234,-27.239675521850586,0.0,69.9180908203125,-7.169665332185104e-05,0.0,0.0,0.36000001430511475,0.00022656345915719747,90.00007080636986,-0.00029826085200416054
3.873406595467088e-10,-42.67832946777344,-27.239696502685547,0.0,69.9181137084961,-8.314545266330242e-05,0.0,0.0,0.36000001430511475,0.00026274276879470753,90.0000844667482,-0.0003458893475298288
5.165221028669009e-10,-42.67831802368164,-27.23971939086914,0.0,69.91813659667969,-9.543952182866633e-05,0.0,0.0,0.36000001430511475,0.00030159822421408245,90.00009812712655,-0.00039704083182596264
6.694685916741605e-10,-42.678306579589844,-27.2397403717041,0.0,69.91815948486328,-0.00010858376481337473,0.0,0.0,0.36000001430511475,0.0003431293043132432,90.00011178750489,-0.0004517146795700673
8.480631197294031e-10,-42.67829513549805,-27.239763259887695,0.0,69.91818237304688,-0.00012257228081580251,0.0,0.0,0.36000001430511475,0.00038733546193500684,90.00012544788322,-0.0005099101612192321
1.0542139383673543e-09,-42.678279876708984,-27.239784240722656,0.0,69.91820526123047,-0.00013740452413912863,0.0,0.0,0.36000001430511475,0.00043421614992219035,90.00013910826156,-0.0005716264690652347
1.2898803136707215e-09,-42.67826843261719,-27.23980712890625,0.0,69.91822814941406,-0.00015309234731830657,0.0,0.0,0.36000001430511475,0.0004837708471727148,90.00015276863991,-0.0006368630820059958
1.5569197042708538e-09,-42.67825698852539,-27.23982810974121,0.0,69.91825103759766,-0.00016961969959083945,0.0,0.0,0.36000001430511475,0.0005359989804742932,90.00016642901825,-0.0007056191141679814
1.9277215379531754e-09,-42.67823791503906,-27.2398624420166,0.0,69.91828918457031,-0.00018699397332966328,0.0,0.0,0.36000001430511475,0.0005909002111105743,90.00018691958576,-0.0007778941486695282
2.2701527324642257e-09,-42.678226470947266,-27.239883422851562,0.0,69.9183120727539,-0.00020521316037047654,0.0,0.0,0.36000001430511475,0.0006484738616488553,90.0002005799641,-0.0008536874038575175
2.734513726565524e-09,-42.67820739746094,-27.23991584777832,0.0,69.91834259033203,-0.00022427774092648178,0.0,0.0,0.36000001430511475,0.0007087193588768494,90.00022107053161,-0.0009329979417482074
3.2532494476100737e-09,-42.67818832397461,-27.23995018005371,0.0,69.91838073730469,-0.00024418524117209017,0.0,0.0,0.36000001430511475,0.0007716363380231011,90.00024156109912,-0.0010158253454599345
3.8291840809279165e-09,-42.67816925048828,-27.23998260498047,0.0,69.91841125488281,-0.0002649450907483697,0.0,0.0,0.36000001430511475,0.0008372240695446999,90.00026205166662,-0.0011021687291191643
4.465193548242041e-09,-42.67815399169922,-27.240015029907227,0.0,69.91844940185547,-0.0002865450514946133,0.0,0.0,0.36000001430511475,0.0009054821886701905,90.00028254223413,-0.0011920275716238182
5.164152216963203e-09,-42.67813491821289,-27.240047454833984,0.0,69.91848754882812,-0.00030899056582711637,0.0,0.0,0.36000001430511475,0.0009764103306281175,90.00030303280165,-0.0012854012476514012
